
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
Hostkey B.v. (3)                                         23758265 (0.1%)
Eonix Corporation (6)                                    23560713 (0.1%)
Sologigabit S.L. (13)                                    23196489 (0.1%)
Ch-net S.r.l. (2)                                        22873451 (0.1%)
Orange Espagne S.A.U. (9)                                22848010 (0.1%)
Indiana University (1)                                   22801821 (0.1%)
vanoppen.biz LLC (7)                                     22399841 (0.1%)
Entidad Publica Empresarial Red.es (1)                   22249554 (0.1%)
Nazwa.pl Sp.z.o.o. (4)                                   22238418 (0.1%)
Tehnologii Budushego LLC (1)                             21879308 (0.1%)
AT&T Services, Inc. (21)                                 21748188 (0.1%)
DataShack, LC (6)                                        21643428 (0.1%)
MAROSNET Telecommunication Company LLC (4)               21592285 (0.1%)
ITsjefen AS (1)                                          21448292 (0.1%)
Vodafone Kabel Deutschland GmbH (44)                     21205185 (0.1%)
Neterra Ltd. (8)                                         21139633 (0.1%)
Serverius Holding B.V. (7)                               21123844 (0.1%)
TUTNET TUT Autonomous System (10)                        20814607 (0.1%)
M-net Telekommunikations GmbH (15)                       20390646 (0.1%)
HostHatch, Inc (10)                                      20042557 (0.1%)
NORDUnet (1)                                             19973480 (0.1%)
Frontier Communications of America, Inc. (11)            19953531 (0.1%)
The University of Western Ontario (1)                    19700380 (0.1%)
velia.net Internetdienste GmbH (3)                       19593598 (0.1%)
British Telecommunications PLC (30)                      19201287 (0.1%)
Zdruzenie pouzivatelov Slovenskej akademickej dato (2)   19145888 (0.1%)
Transip B.V. (7)                                         19120500 (0.1%)
Unilogic Networks B.V. (1)                               19016004 (0.1%)
Hostio Solutions B.V. (3)                                18859008 (0.1%)
Studentersamfundet i Trondhjem (1)                       18416102 (0.1%)
PlusServer GmbH (4)                                      18377715 (0.1%)
OJS Moscow city telephone network (6)                    18291347 (0.1%)
Tamatiya EOOD (3)                                        17960037 (0.1%)
LLC tc Tel Center (4)                                    17897743 (0.1%)
Lukman Multimedia Sp. z o.o (1)                          17744896 (0.1%)
OOO Network of data-centers Selectel (6)                 17718498 (0.1%)
PE Freehost (2)                                          17675457 (0.1%)
Solar Communications GmbH (8)                            17541243 (0.1%)
Netwerkvereniging Coloclue (2)                           17501663 (0.1%)
DataOppdrag AS (1)                                       17390622 (0.1%)
Iws Networks LLC (1)                                     17346560 (0.1%)
Stanford University (1)                                  16859759 (0.1%)
Blix Solutions AS (2)                                    16694242 (0.1%)
Nav Communications Srl (2)                               16611608 (0.1%)
Istanbuldc Veri Merkezi Ltd. Sti (3)                     16578544 (0.1%)
DataClub S.A. (2)                                        16542242 (0.1%)
Swiftway Sp. z o.o. (13)                                 16528919 (0.1%)
Liteserver VOF (9)                                       16375490 (0.1%)
GANDI SAS (8)                                            16186238 (0.1%)
UAB Rakrejus (13)                                        16184987 (0.1%)
PE Ivanov Vitaliy Sergeevich (7)                         16176413 (0.1%)
Limited liability company Mail.Ru (1)                    16020212 (0.1%)
Dotsi, Unipessoal Lda. (4)                               16001887 (0.1%)
The New York Internet Company (3)                        15885214 (0.1%)
Ziggo (13)                                               15830579 (0.1%)
WebNX, Inc. (1)                                          15629757 (0.1%)
University of Waterloo (2)                               15473033 (0.1%)
US Internet Corp (2)                                     15447095 (0.1%)
Bytemark Limited (6)                                     15228008 (0.1%)
Comvive Servidores S.L. (1)                              15221350 (0.1%)
LIAZO SARL (2)                                           15200256 (0.1%)
ColoCrossing (11)                                        15184702 (0.1%)
ACONET (1)                                               14997695 (0.1%)
Magyar Telekom plc. (5)                                  14953404 (0.1%)
GMO Internet,Inc (6)                                     14926624 (0.1%)
Histate Global Corp. (10)                                14919746 (0.1%)
Telia Finland Oyj (9)                                    14895328 (0.1%)
Association Gitoyen (2)                                  14884432 (0.1%)
NetAssist LLC (1)                                        14722514 (0.1%)
Strato AG (14)                                           14586213 (0.1%)
One.com A/S (1)                                          14434304 (0.1%)
Volia (6)                                                14330047 (0.1%)
Sinarohost LTD (3)                                       14323712 (0.1%)
Telefonica Germany (33)                                  14156168 (0.1%)
Leaseweb Asia Pacific pte. ltd. (9)                      13991584 (0.1%)
ServeTheWorld AS (4)                                     13781264 (0.1%)
Wowrack.com (4)                                          13731091 (0.1%)
Sardegna Wifi Srl (1)                                    13578414 (0.1%)
Bouygues Telecom SA (14)                                 13541843 (0.1%)
LLC Campus Networks (1)                                  13513651 (0.1%)
Freifunk Nordwest e.V. (1)                               13512088 (0.1%)
Aktsiaselts WaveCom (1)                                  13328384 (0.1%)
Keminet Ltd. (5)                                         13308053 (0.1%)
Bredband2 AB (4)                                         12908507 (0.0%)
TOV Magnus Limited (1)                                   12843002 (0.0%)
SIA Bighost.lv (10)                                      12827790 (0.0%)
