
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS852 (3)         0.0%
AS35598 (2)       0.0%
AS19237 (2)       0.0%
AS198651 (1)      0.0%
AS12414 (3)       0.0%
AS3927 (1)        0.0%
AS15582 (1)       0.0%
AS31200 (2)       0.0%
AS42831 (1)       0.0%
AS16904 (1)       0.0%
AS198717 (1)      0.0%
AS4181 (3)        0.0%
AS44050 (2)       0.0%
AS11051 (1)       0.0%
AS20115 (22)      0.0%
AS60602 (1)       0.0%
AS60876 (1)       0.0%
AS50716 (1)       0.0%
AS41668 (2)       0.0%
AS197890 (1)      0.0%
AS197155 (6)      0.0%
AS577 (3)         0.0%
AS8764 (3)        0.0%
AS30083 (2)       0.0%
AS59564 (5)       0.0%
AS50261 (1)       0.0%
AS48693 (1)       0.0%
AS31214 (2)       0.0%
AS25092 (1)       0.0%
AS44066 (4)       0.0%
AS8422 (10)       0.0%
AS31333 (4)       0.0%
AS12479 (2)       0.0%
AS8943 (5)        0.0%
AS201011 (3)      0.0%
AS20001 (9)       0.0%
AS5539 (1)        0.0%
AS43443 (1)       0.0%
AS7203 (2)        0.0%
AS12271 (5)       0.0%
AS6871 (13)       0.0%
AS21232 (1)       0.0%
AS22773 (22)      0.0%
AS5607 (7)        0.0%
AS47583 (5)       0.0%
AS39324 (1)       0.0%
AS203380 (1)      0.0%
AS49502 (1)       0.0%
AS31 (1)          0.0%
AS198889 (1)      0.0%
AS45996 (6)       0.0%
AS46562 (3)       0.0%
AS204136 (1)      0.0%
AS393552 (2)      0.0%
AS9 (1)           0.0%
AS29321 (1)       0.0%
AS61053 (1)       0.0%
AS203953 (1)      0.0%
AS29580 (2)       0.0%
AS15600 (8)       0.0%
AS34087 (1)       0.0%
AS1659 (5)        0.0%
AS38935 (1)       0.0%
AS12620 (2)       0.0%
AS11351 (6)       0.0%
AS6503 (2)        0.0%
AS50009 (1)       0.0%
AS34300 (1)       0.0%
AS36077 (1)       0.0%
AS41164 (3)       0.0%
AS41661 (3)       0.0%
AS6327 (9)        0.0%
AS198930 (1)      0.0%
AS43939 (1)       0.0%
AS54858 (1)       0.0%
AS47544 (1)       0.0%
AS20845 (3)       0.0%
AS29562 (19)      0.0%
AS18978 (3)       0.0%
AS8359 (2)        0.0%
AS4766 (10)       0.0%
AS34971 (5)       0.0%
AS3216 (2)        0.0%
AS25091 (1)       0.0%
AS44813 (1)       0.0%
AS49770 (3)       0.0%
AS46844 (1)       0.0%
AS197648 (1)      0.0%
AS45839 (12)      0.0%
AS58222 (1)       0.0%
AS59895 (1)       0.0%
AS15594 (1)       0.0%
AS61493 (11)      0.0%
AS12871 (3)       0.0%
AS36351 (6)       0.0%
AS56610 (1)       0.0%
AS51032 (1)       0.0%
AS15377 (3)       0.0%
AS7385 (1)        0.0%
AS133752 (3)      0.0%
AS15318 (1)       0.0%
AS39598 (1)       0.0%
AS15704 (3)       0.0%
AS31027 (2)       0.0%
AS49342 (1)       0.0%
AS8648 (1)        0.0%
AS51731 (1)       0.0%
AS43561 (2)       0.0%
AS28855 (1)       0.0%
AS7506 (3)        0.0%
AS34549 (1)       0.0%
AS42708 (3)       0.0%
AS12389 (10)      0.0%
AS12668 (2)       0.0%
AS5645 (9)        0.0%
AS29222 (1)       0.0%
AS33934 (1)       0.0%
AS51604 (2)       0.0%
AS9070 (1)        0.0%
AS26496 (1)       0.0%
AS12083 (4)       0.0%
AS62370 (1)       0.0%
