
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
AS61493 (9)       7429876 (0.0%)
AS24971 (4)       7411795 (0.0%)
AS22772 (2)       7399431 (0.0%)
AS49770 (3)       7374374 (0.0%)
AS54225 (1)       7301324 (0.0%)
AS35699 (1)       7084147 (0.0%)
AS42431 (1)       7005770 (0.0%)
AS34168 (1)       6962454 (0.0%)
AS19165 (2)       6950025 (0.0%)
AS15895 (5)       6921459 (0.0%)
AS50261 (1)       6871040 (0.0%)
AS14536 (2)       6861626 (0.0%)
AS3842 (10)       6857970 (0.0%)
AS54858 (2)       6793649 (0.0%)
AS48900 (1)       6647808 (0.0%)
AS29624 (1)       6618974 (0.0%)
AS41164 (4)       6607775 (0.0%)
AS199847 (2)      6590717 (0.0%)
AS51815 (1)       6563065 (0.0%)
AS12494 (1)       6544344 (0.0%)
AS12824 (2)       6450292 (0.0%)
AS15943 (7)       6436573 (0.0%)
AS46375 (3)       6400117 (0.0%)
AS35041 (1)       6388367 (0.0%)
AS53755 (5)       6368641 (0.0%)
AS45996 (5)       6321731 (0.0%)
AS43588 (1)       6285599 (0.0%)
AS35598 (2)       6253054 (0.0%)
AS26347 (4)       6250953 (0.0%)
AS20845 (2)       6239150 (0.0%)
AS12161 (1)       6196918 (0.0%)
AS49964 (1)       6149660 (0.0%)
AS22989 (1)       6140552 (0.0%)
AS30900 (2)       6138673 (0.0%)
AS41075 (1)       6133760 (0.0%)
AS44050 (2)       6127130 (0.0%)
AS35141 (5)       6100460 (0.0%)
AS4739 (6)        6090493 (0.0%)
AS15582 (1)       6023492 (0.0%)
AS31863 (3)       6000390 (0.0%)
AS132779 (5)      5954932 (0.0%)
AS48287 (1)       5923219 (0.0%)
AS41661 (3)       5913790 (0.0%)
AS17055 (3)       5890545 (0.0%)
AS5483 (4)        5877442 (0.0%)
AS15600 (9)       5821961 (0.0%)
AS73 (1)          5733733 (0.0%)
AS12353 (2)       5686974 (0.0%)
AS3269 (6)        5603323 (0.0%)
AS43586 (1)       5565421 (0.0%)
AS29580 (3)       5522061 (0.0%)
AS206963 (1)      5502976 (0.0%)
AS43711 (1)       5420727 (0.0%)
AS8359 (2)        5419619 (0.0%)
AS34700 (1)       5385951 (0.0%)
AS60117 (3)       5291402 (0.0%)
AS5645 (10)       5284561 (0.0%)
AS1102 (1)        5214381 (0.0%)
AS20001 (8)       5209800 (0.0%)
AS8351 (1)        5196465 (0.0%)
AS44812 (4)       5189700 (0.0%)
AS59253 (2)       5121024 (0.0%)
AS49502 (1)       5117391 (0.0%)
AS39326 (2)       5069880 (0.0%)
AS3226 (2)        5008137 (0.0%)
AS199129 (4)      4944332 (0.0%)
AS12395 (1)       4928410 (0.0%)
AS11351 (6)       4915337 (0.0%)
AS48642 (1)       4876676 (0.0%)
AS30600 (1)       4844316 (0.0%)
AS47583 (5)       4837020 (0.0%)
AS33363 (3)       4817723 (0.0%)
AS36077 (1)       4810880 (0.0%)
AS48347 (2)       4810306 (0.0%)
AS20807 (1)       4757258 (0.0%)
AS133229 (1)      4740096 (0.0%)
AS11051 (1)       4717473 (0.0%)
AS156 (20)        4646483 (0.0%)
AS29562 (14)      4618119 (0.0%)
AS39608 (3)       4615978 (0.0%)
AS36666 (1)       4595880 (0.0%)
AS43326 (2)       4563915 (0.0%)
AS41425 (4)       4517907 (0.0%)
AS719 (7)         4506459 (0.0%)
AS30176 (1)       4427085 (0.0%)
AS31214 (1)       4419722 (0.0%)
AS59917 (1)       4419584 (0.0%)
AS9 (1)           4415087 (0.0%)
AS33182 (4)       4391784 (0.0%)
AS15747 (2)       4336154 (0.0%)
AS31261 (1)       4331581 (0.0%)
AS28855 (1)       4329438 (0.0%)
AS60602 (1)       4267098 (0.0%)
AS6730 (1)        4263675 (0.0%)
AS50543 (2)       4224156 (0.0%)
AS45671 (2)       4189628 (0.0%)
AS39819 (4)       4184260 (0.0%)
AS48693 (1)       4156319 (0.0%)
AS10929 (2)       4111714 (0.0%)
AS23005 (1)       4093952 (0.0%)
AS51731 (2)       4083658 (0.0%)
AS197648 (1)      4068352 (0.0%)
AS30722 (7)       4067927 (0.0%)
AS38935 (1)       4057088 (0.0%)
AS35206 (1)       4056531 (0.0%)
AS8648 (1)        4054670 (0.0%)
AS50542 (1)       4045755 (0.0%)
AS5432 (8)        3983791 (0.0%)
AS21232 (1)       3961856 (0.0%)
AS203380 (1)      3938132 (0.0%)
AS44066 (4)       3925375 (0.0%)
AS59895 (1)       3908608 (0.0%)
AS198508 (1)      3904063 (0.0%)
AS42708 (2)       3875235 (0.0%)
AS6327 (7)        3833179 (0.0%)
AS59491 (2)       3823643 (0.0%)
AS577 (4)         3813404 (0.0%)
AS12083 (3)       3806081 (0.0%)
AS1916 (6)        3787840 (0.0%)
AS3356 (3)        3767926 (0.0%)
AS60876 (1)       3743850 (0.0%)
AS20880 (4)       3742908 (0.0%)
AS26496 (1)       3720920 (0.0%)
