
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
COLT Technology Services Group Limited (3)               0.0%
University of Waterloo (2)                               0.0%
Comvive Servidores S.L. (1)                              0.0%
Lightstream Transmission and Telecom Inc (1)             0.0%
Hostwinds LLC. (2)                                       0.0%
VKontakte Ltd (1)                                        0.0%
SuperNetwork s.r.o. (2)                                  0.0%
ELB Multimedia SARL (1)                                  0.0%
Nav Communications Srl (2)                               0.0%
TOV Trest Ukrtelebud (1)                                 0.0%
GorillaServers, Inc. (3)                                 0.0%
PE Ivanov Vitaliy Sergeevich (7)                         0.0%
Aqua Ray SAS (1)                                         0.0%
sol.net Network Services (2)                             0.0%
PlusServer GmbH (4)                                      0.0%
Keminet Ltd. (5)                                         0.0%
OOO Network of data-centers Selectel (6)                 0.0%
ColoCrossing (17)                                        0.0%
PLUTEX GmbH (1)                                          0.0%
Cablevision Systems Corp. (9)                            0.0%
Incero LLC (4)                                           0.0%
Daticum JSC (1)                                          0.0%
Freifunk Nordwest e.V. (1)                               0.0%
Reliable Hosting Services (1)                            0.0%
CESNET z.s.p.o. (1)                                      0.0%
Infium, UAB (1)                                          0.0%
UNINETT AS (2)                                           0.0%
MK Netzdienste GmbH & Co. KG (2)                         0.0%
Astralus B.V. (8)                                        0.0%
DataShack, LC (3)                                        0.0%
Hotwire Communications (1)                               0.0%
Andreas Fink trading as Fink Telecom Services (2)        0.0%
Wowrack.com (3)                                          0.0%
Istanbuldc Veri Merkezi Ltd. Sti (3)                     0.0%
Centrilogic, Inc. (3)                                    0.0%
AllTele Allmanna Svenska Telefonaktiebolaget (4)         0.0%
Hyperoptic Ltd (4)                                       0.0%
Karlsruhe Institute of Technology (1)                    0.0%
Sinarohost LTD (3)                                       0.0%
Claranet Ltd (1)                                         0.0%
Stockholms Stadsnat AB (3)                               0.0%
LLC tc Tel Center (4)                                    0.0%
British Telecommunications PLC (28)                      0.0%
WebNX, Inc. (1)                                          0.0%
Arrowhead A/S (5)                                        0.0%
Vodafone Kabel Deutschland GmbH (48)                     0.0%
University of Utah (5)                                   0.0%
Fiberby ApS (1)                                          0.0%
Perspectiva Ltd. (6)                                     0.0%
PLANET IC GmbH (1)                                       0.0%
Inter Connects Inc (2)                                   0.0%
Computer Wired SRL (1)                                   0.0%
2COM Co Ltd. (4)                                         0.0%
7heaven LLC (3)                                          0.0%
ATW Internet Kft. (1)                                    0.0%
Avolo Telecom Srl (4)                                    0.0%
Continuum Data Centers, LLC. (4)                         0.0%
AbeloHost B.V. (1)                                       0.0%
Histate Global Corp. (10)                                0.0%
Sternforth Ltd. (2)                                      0.0%
DNA Oyj (5)                                              0.0%
POST Luxembourg (1)                                      0.0%
Dgn Teknoloji A.s. (1)                                   0.0%
Telefonica Germany (31)                                  0.0%
SAKURA Internet Inc. (12)                                0.0%
Sunrise Communications AG (2)                            0.0%
wilhelm.tel GmbH (8)                                     0.0%
GloboTech Communications (1)                             0.0%
